ACR,Name
BTC,Bitcoin
ETH,Ethereum
ETH2,Ethereum 2
USDT,Tether
BNB,Binance Coin
ADA,Cardano
USDC,USD Coin
SOL,Solana
XRP,XRP
LUNA,Terra
DOT,Polkadot
DOGE,Dogecoin
AVAX,Avalanche
SHIB,SHIBA INU
MATIC,Polygon
BUSD,Binance USD
WBTC,Wrapped Bitcoin
CRO,Crypto.com Coin
UST,TerraUSD
NEAR,NEAR Protocol
ATOM,Cosmos
LINK,Chainlink
DAI,Dai
UNI,Uniswap
LTC,Litecoin
ALGO,Algorand
FTM,Fantom
BCH,Bitcoin Cash
TRX,TRON
XLM,Stellar Lumens
FTT,FTX Token
ICP,Internet Computer
MANA,Decentraland
HBAR,Hedera
VET,VeChain
BTCB,Bitcoin BEP2
AXS,Axie Infinity
ETC,Ethereum Classic
THETA,THETA
FIL,Filecoin
SAND,The Sandbox
XMR,Monero
KLAY,Klaytn
EGLD,Elrond
LEO,UNUS SED LEO
XTZ,Tezos
ONE,Harmony
HNT,Helium
AAVE,Aave
MIOTA,IOTA
STX,Stacks
CAKE,PancakeSwap
EOS,EOS
BTT,BitTorrent
GRT,The Graph
FLOW,Flow
KSM,Kusama
BSV,Bitcoin SV
MKR,Maker
GALA,Gala
CRV,Curve DAO Token
ENJ,Enjin Coin
RUNE,THORChain
QNT,Quant
XEC,eCash
ZEC,Zcash
NEO,Neo
CGLD,Celo
ROSE,Oasis Network
AMP,Amp
KCS,KuCoin Token
HT,Huobi Token
OKB,OKB
LRC,Loopring
CHZ,Chiliz
TUSD,TrueUSD
BAT,Basic Attention Token
WAVES,Waves
AR,Arweave
DASH,Dash
SCRT,Secret
NEXO,Nexo
KDA,Kadena
MINA,Mina
YFI,yearn.finance
COMP,Compound
IOTX,IoTeX (ERC-20)
HOT,Holo
XDC,XDC Network
XEM,NEM
TFUEL,Theta Fuel
PAX,Paxos Standard
1INCH,1inch
DCR,Decred
RVN,Ravencoin
OMG,OMG Network
SUSHI,SushiSwap
BNT,Bancor Network Token
RENBTC,renBTC
CEL,Celsius
QTUM,Qtum
VLX,Velas
NFT,APENFT
ZIL,Zilliqa
BORA,BORA
ANKR,Ankr
WAXP,WAX
SYS,Syscoin
WOO,WOO Network
KAVA,Kava
LPT,Livepeer
IMX,Immutable X
ELON,Dogelon Mars
PERP,Perpetual Protocol
REV,Revain
AUDIO,Audius
SC,Siacoin
ICX,ICON
BTG,Bitcoin Gold
VGX,Voyager Token
GNO,Gnosis
ZEN,Horizen
TEL,Telcoin
ZRX,0x
CKB,Nervos Network
SNX,Synthetix Network Token
CHSB,SwissBorg
GT,GateToken
USDN,Neutrino USD
ONT,Ontology
STORJ,Storj
UMA,UMA
IOST,IOST
CELR,Celer Network
SKL,SKALE
FLUX,Flux
CHR,Chromia
OCEAN,Ocean Protocol
HIVE,Hive
DYDX,dYdX
FEI,Fei USD
REN,Ren
NU,NuCypher
POLY,Polymath
RAY,Raydium
DGB,DigiByte
GNT,Golem
NANO,Nano
SRM,Serum
WIN,WINk
JST,JUST
DENT,Dent
XYO,XYO
DUSK,Dusk Network
COTI,COTI
UOS,Ultra
TRAC,OriginTrail
